,amount of SP,different upvote receiver,downvotes,names,price in $,self upvotes,timestamp,upvotes
67,"190,8859421582396",7,0,upgo,"91,74602551611247",19,2018-02-12T19:20:09,13
68,"27,91561849893459",16,0,pioner21,"13,417159053955835",89,2018-02-12T19:20:12,23
69,"37,04035958638677",17,0,gulfuren,"17,802807987408062",3,2018-02-12T19:20:15,27
70,"157,5830085846236",4,0,nasir769,"75,73954667927117",7,2018-02-12T19:20:18,9
71,"35,112293173876964",7,0,mahbub4noyon,"16,876116224364324",27,2018-02-12T19:20:30,6
72,"9,236866306861998",34,0,umutipk,"4,439539980245216",1,2018-02-12T19:20:33,37
73,"158,75711869962734",4,0,nasir769,"76,30386239237153",7,2018-02-12T19:20:36,9
74,"136,31878409055645",34,0,fazlul,"65,51926507573761",15,2018-02-12T19:20:45,49
75,"642,7380377700778",20,0,boyasyie,"308,920917626014",4,2018-02-12T19:20:48,44
76,"180,92619765502252",4,0,nasir769,"86,95904663754935",7,2018-02-12T19:20:51,9
77,"15724,336618050736",26,0,donutboy,"7557,630343400082",0,2018-02-12T19:21:00,81
78,"16155,541052141765",26,0,donutboy,"7764,881294232181",0,2018-02-12T19:21:03,81
79,"16170,344440230663",26,0,donutboy,"7771,996286598686",0,2018-02-12T19:21:06,81
80,"47,294434297146374",43,0,slayerkm,"22,731251587920035",5,2018-02-12T19:21:24,60
81,"1498,8235457065525",54,0,sergiomendes,"720,3836055907685",14,2018-02-12T19:21:27,83
82,"16193,541615059255",26,0,donutboy,"7783,145607337882",0,2018-02-12T19:21:30,81
83,"16247,305655558737",26,0,donutboy,"7808,986363214109",0,2018-02-12T19:21:33,81
84,"65,11010351963917",15,0,thaibenz,"31,294044764792485",0,2018-02-12T19:21:54,17
85,"8,22077059777615",19,0,anzirpasai,"3,951171157488623",2,2018-02-12T19:21:57,28
86,"43,54008127979424",83,0,raci,"20,926786765461053",8,2018-02-12T19:22:00,98
87,"333,13322424647544",12,0,floridanow,"160,1147205834857",5,2018-02-12T19:22:15,15
88,"952,1912747653346",55,0,julee,"457,6542620326698",0,2018-02-12T19:22:18,75
89,"2612,534856289113",9,0,predict-win,"1255,66967832622",0,2018-02-12T19:22:21,18
90,"1,8711753630860428",7,0,masykurvirgo,"0,8993480644294938",5,2018-02-12T19:22:30,18
91,"1083,3523089562395",30,0,steem9ja,"520,6945438551154",0,2018-02-12T19:23:00,41
92,"47,094412681303695",37,0,lynxit,"22,635114658906875",3,2018-02-12T19:23:03,38
93,"158,64082478473233",13,0,diezeldiddy,"76,2479677342176",0,2018-02-12T19:24:30,16
94,"16,97158930434019",31,0,dailypro,"8,157100767924543",3,2018-02-12T19:24:33,55
95,"49,86266778466629",4,0,dmaniac,"23,965628579820304",0,2018-02-12T19:25:30,31
96,"68,3754007473658",4,0,dmaniac,"32,86345338328759",0,2018-02-12T19:25:33,31
97,"107,38905271596515",4,0,dmaniac,"51,61469021360723",0,2018-02-12T19:25:36,31
98,"120,38026876716485",4,0,dmaniac,"57,85869344319366",0,2018-02-12T19:25:39,31
99,"156,7346716802963",4,0,dmaniac,"75,33180822356995",0,2018-02-12T19:25:42,31
100,"8745,823503683228",122,0,everittdmickey,"4203,528752594954",47,2018-02-12T19:25:48,321
101,"116,31841016789029",33,1,digitokash,"55,90643138304175",12,2018-02-12T19:25:51,43
102,"100,14337309198206",135,0,mctiller,"48,13217966229352",8,2018-02-12T19:25:54,168
103,"1124,9442870839998",709,0,resteemable,"540,6850085453428",8,2018-02-12T19:26:00,1731
104,"93,88478680535793",11,0,rutablockchain,"45,124098445545705",2,2018-02-12T19:26:03,15
105,"532,8231749139907",59,0,sayee,"256,09224046845264",11,2018-02-12T19:26:30,124
106,"8798,932473274543",122,0,everittdmickey,"4229,054659972775",47,2018-02-12T19:26:33,321
107,"1977,8217161005755",313,0,iwanderela,"950,6057888813062",13,2018-02-12T19:26:36,347
108,"161,14208448761346",16,0,pioner21,"77,45015493526734",89,2018-02-12T19:26:39,23
109,"8855,663781516587",122,0,everittdmickey,"4256,321581751762",47,2018-02-12T19:26:42,321
110,"47,109407433538955",5,0,kkugel2,"22,642321627139474",4,2018-02-12T19:27:00,22
111,"1557,4297388700525",396,0,steembasicincome,"748,5516583692354",10,2018-02-12T19:27:27,908
112,"37,34849356018213",22,0,mohdsaadshahid,"17,950907250782706",0,2018-02-12T19:27:30,104
113,"18,756754463926857",28,0,shahbazfayyaz,"9,015109516133684",3,2018-02-12T19:27:33,106
114,"9,447883581467933",4,0,bitcoincashmaker,"4,540961782403321",2,2018-02-12T19:28:00,3
115,"34,438220657598215",4,0,mrweird,"16,55213493177153",0,2018-02-12T19:28:03,12
116,"8909,209789035982",122,0,everittdmickey,"4282,057543848374",47,2018-02-12T19:28:06,321
117,"6005,188258606475",73,0,antfield,"2886,289838706107",0,2018-02-12T19:28:30,110
118,"99354,92550470929",365,0,aksdwi,"47753,22597066923",0,2018-02-12T19:28:33,519
